year,reclat,reclong,mass,clipped_prediction
1974,0.0,35.66667,5.85,254.9752721439464
1974,0.0,35.66667,6.0,254.9752721439464
1974,0.0,35.66667,6.14,254.9752721439464
1974,0.0,35.66667,6.2,254.9752721439464
1974,0.0,35.66667,6.64,254.9752721439464
1974,0.0,35.66667,7.76,254.9752721439464
1974,0.0,35.66667,7.82,254.9752721439464
1974,0.0,35.66667,8.18,254.9752721439464
1974,0.0,35.66667,8.29,254.9752721439464
1974,0.0,35.66667,8.73,254.9752721439464
1974,0.0,35.66667,8.9,254.9752721439464
1974,0.0,35.66667,9.03,254.9752721439464
1974,0.0,35.66667,9.03,254.9752721439464
1974,0.0,35.66667,9.38,254.9752721439464
1974,0.0,35.66667,9.62,254.9752721439464
1974,0.0,35.66667,9.82,254.9752721439464
1974,0.0,35.66667,10.18,254.9752721439464
1974,0.0,35.66667,11.4,254.9752721439464
1974,0.0,35.66667,14.11,254.9752721439464
1974,0.0,35.66667,14.61,254.9752721439464
1974,0.0,35.66667,14.85,254.9752721439464
1974,0.0,35.66667,16.17,254.9752721439464
1974,0.0,35.66667,18.65,254.9752721439464
1974,0.0,35.66667,20.46,254.9752721439464
1974,0.0,35.66667,21.83,254.9752721439464
1974,0.0,35.66667,28.95,254.9752721439464
1974,0.0,35.66667,46.66,254.9752721439464
1974,0.0,35.66667,81.7,254.9752721439464
1974,0.0,35.66667,205.0,254.9752721439464
1974,33.18139,-102.40139,47000.0,538.6779023426826
1974,40.71667,-90.41667,22000.0,665.8786045151825
1974,42.03839,-120.58942,65.4,669.6632528930948
1974,52.77,-106.89667,1896.4,902.5974509024235
1975,-71.5,35.66667,0.07,35.90637027893657
1975,-71.5,35.66667,0.13,35.90637027893657
1975,-71.5,35.66667,0.17,35.90637027893657
1975,-71.5,35.66667,0.27,35.90637027893657
1975,-71.5,35.66667,0.53,35.90637027893657
1975,-71.5,35.66667,0.65,35.90637027893657
1975,-71.5,35.66667,0.89,35.90637027893657
1975,-71.5,35.66667,1.1,35.90637027893657
1975,-71.5,35.66667,1.12,35.90637027893657
1975,-71.5,35.66667,1.13,35.90637027893657
1975,-71.5,35.66667,1.15,35.90637027893657
1975,-71.5,35.66667,1.21,35.90637027893657
1975,-71.5,35.66667,1.3,35.90637027893657
1975,-71.5,35.66667,1.4,35.90637027893657
1975,-71.5,35.66667,1.52,35.90637027893657
1975,-71.5,35.66667,1.67,35.90637027893657
1975,-71.5,35.66667,1.75,35.90637027893657
1975,-71.5,35.66667,1.83,35.90637027893657
1975,-71.5,35.66667,2.01,35.90637027893657
1975,-71.5,35.66667,2.09,35.90637027893657
1975,-71.5,35.66667,2.18,35.90637027893657
